,username,occupation,age,gender,product_purchased
0,3IwrSF8vrFIzQTKF6blw,Research Assistant,28,Male,Hermes Blue & Gold Wristband
1,HIdcqDXNho1oc3avndnS,Teaching Assistant,39,Female,For LG X5 Leather Flip Pouch Cover (White)
2,Q96b913oze9QGvQDA7Qx,Software Engineer Senior In Quality,42,Female,Table Cloth Embroidered Tea Table Runner
3,J8Qm6aYpptEfwiOfU3cm,other,22,Female,Japan Ice Silk Thin No Rims Seamless Sports Vest
4,WNS88z22OwfPaBnRyLIx,GIS Analyst,30,Male,FENDER FRONT SCRAMBER
5,wHiywTCiDfb9l5wzsZKO,Senior Quality Assurance Engineer,42,Female,Fujifilm Instax SQUARE Film (Plain) [6 Packs]
6,FohFMoCPa0jhtYCNudbQ,GIS Analyst,38,Male,[Missha][Korea Best]Missha Modern Shadow Matt 2.2g
7,LM4RBQPtChp03LsCLbTo,Application Engineer,37,Male,Tissot - Lilock 1 - mechanical watch
8,AUmJHEswvJWuWtQEMmli,Research Assistant,28,Female,Short Sleeve T-shirt Men's Suit 2020 Korean Casual
9,4xsFN51NrTCfbJWRMHqX,Quality Assurance,28,Female,Superga 289SPURS COTU S1115DW999
10,5lVOPiGBIlfxv4sKPjAv,other,23,Male,GRACO CITIGO (Play red) stroller
11,iIPaFrLJfzzjWqMYlXD8,Senior Test Engineer,50,Male,G757 Jelly Bag Elegant Sling Bag Import
12,IAdVNlMgQLvt1jrI4cR8,Software Quality Engineer,39,Male,Korea Star Silver Necklace Wish Rhinestone
13,2TiwjJfy1rbGfhFKc8xI,other,19,Male,Gamis Brukat / Gamis Tile (busui Fold Chest)
14,BCHU91p2c7oKu4nx3c5k,Quality Assurance,27,Female,Adjustable Angle Suction Cup Phone Holder
15,YQ0ZK0DIJ9nnMz8O7tOY,Research Scientist,41,Female,Adidas Sl 72 As Premium Forman Shoes.
16,0F41d8lTB0jYmTMOYwX7,Developer,34,Female,Shoes Thick Platform Shoes Increased Shoes Small
