,main_category,Pricing,product_name,seller_name,quantity,Discount_applicable
814135,Mobile & Gadgets,13.23826892,Nike Rainbow Watch Strap,saijinzh,40661.46152,Yes
204460,Women's Shoes,21.88774967,Grey Pointed Strapped Heels,nick,78827.98038,Yes
1356737,Home & Living,13.44287514,Pillowcase 48 X 74 Cotton Pillowcases,lang9,51537.71049,Yes
703317,Beauty & Personal Care,12.11140757,Barrettes Pearl Girls Accessories Clips Hair Pins,bjzhim,93946.5866,No
969190,Computers & Peripherals,18.1478919,Anime Cottage Buddha Meridian Mouse Pad,kevin9,79109.4848,Yes
1903959,Women's Bags,60.2863352,L* handbag women's Shoulder Bags,redtr,30065.85635,No
1980364,Home & Living,8.094668848,🔥silicone lego mould🔥,rajanurza,26822.88756,Yes
333728,Pet Food & Supplies,1.454801459,Pet cat toy wood mouse funny cat stick,reds,16262.7477,Yes
464629,Men's Wear,7.835730036,Casual Shirts,portgasd,44918.86227,Yes
513982,Men's Wear,34.71368269,Men's Spring And Autumn Chinese Style Retro Dress,wendell,86930.37649,No
602855,Women's Apparel,11.16973906,Women's Summer Harem Elastic Lace Thin Shirt,jinmengc,15346.04671,Yes
1526716,Beauty & Personal Care,37.03258506,CAUDALIE PURIFYING MASK 75ml,aurore,30058.37654,No
1475236,Women's Shoes,17.55354652,Boots With Thick Leather High School Winter Boots,jklas4,104370.3404,Yes
1188585,Miscellaneous,8.313308917,test 1,kerr,67298.11467,No
1248731,Women's Apparel,14.80996928,293 Square Set 2 By Zm,zivanisa,42764.78737,No
562356,Pet Food & Supplies,4.83348448,Ring Donut Laser Line - Bird Ring,ahmadbuch,87401.43214,Yes
1235990,Home & Living,3.642571208,QQMALL Cute 0.5mm Mechanical Office Pen Pencil,qqma,33714.49178,No
152068,Women's Apparel,6.625530297,Women's T-shirt Ks & @ 00263,harvys,29149.84577,Yes
1258178,Women's Apparel,20.83855833,Dumai Big Set By Sancaka,titus_nov,99440.49375,No
1144269,Home & Living,11.96737796,Creative Polybag - DIAMOND - XL (20pcs),creativ,87960.59061,No
971769,Beauty & Personal Care,33.6155575,Atomy Evening Care Deep Cleanser,oneintern,15711.36913,No
52142,Men's Wear,15.17956675,Plain T-shirt Cotton Combed 30s Long Arm Unisex,phenoms,63164.36213,No
276775,Women's Shoes,16.11341678,Wedges Shoes 680 ✨ -@ 8,mq.l,34245.38632,Yes
178596,Women's Apparel,15.94897504,Arab Robe Lace Robe Fendi Robe Rayon Busui,trijunia,98300.21261,No
1236362,Kids Fashion,19.12415538,Cardi Children's Long Dress By Flowerkids,khusaini,25943.47375,Yes
1435220,Men's Wear,23.05374862,Men's Long Sleeve White Washed Denim Jacket,jack_o,11040.43625,Yes
385798,Home & Living,8.821901591,Bottle Cleaning Sponge (tkp18),percikan,19733.30181,No
362255,Kids Fashion,41.37910477,Parent-child Swimwear Of Yellow Duck,puma16,65165.8582,No
1232603,Women's Apparel,21.09257934,Women's Autumn Wide Fleece Thick Plus Size Sweater,shuan,22541.69654,Yes
1508903,Kids Fashion,12.49036248,✅Channy Bong bong Maison Olive Hairpin Set,adamsk,15394.558,No
255853,Automotive,37.92540452,2k Slow Thinner 0804 (SUPER SLOW) 4 LITER,kimsengh,18193.74644,Yes
1152008,Mobile & Gadgets,6.956165123,Anticrack Realme 2 / Soft Case Realme 2,susyc,89472.73546,No
60634,Women's Apparel,12.4501397,Hotpant Pajama Paulfranks Settings,rudi.hu,17969.62759,No
1311070,Women's Apparel,16.85904614,Women's Heart Thin Cotton Thin Body Vest,yuyuans,96789.32171,Yes
1420812,Women's Shoes,25.4657767,Women's Thin Flat Short Tube Elastic Boots,athu45,109034.5515,No
652167,Women's Apparel,9.825473122,Greet Nightgown Model: D Hayu -@ 395 / Bd Oblong,greetnig,103134.1193,No
1706573,Women's Apparel,13.9076174,Women's Long Sleeve Hooded Sweatshirt Ig Jacket,oliver,92071.69098,No
440329,Miscellaneous,123.5374808,Bellroy Hide & Seek Wallet - Cocoa (Hi),theliv,22980.84182,Yes
762139,Women's Shoes,14.75705238,Laura Hayu Amp; Sachi Ja023,halonas,47644.32011,No
1109239,Home & Living,22.14344899,Thickened Window Mat Living Room Bedroom Mat,shidai,44546.03993,Yes
996136,Men's Wear,71.36679865,Men's Long Plus Velvet Padded Jacket,taobaog,50382.36272,Yes
1099984,Pet Food & Supplies,15.24736233,Dog Shoes Pet Shoes Teddy Small Dog Shoes,sixian,45350.64256,No
237973,Jewellery & Accessories,12.4585978,hat St Bernard cool Baseball cap,gdfhj,72129.25934,No
1797457,Women's Shoes,86.69733702,Fila Multiswift Men's Sneakers Shoes 4,fila,46615.79292,Yes
1493913,Kids Fashion,12.07302183,Pow White Set,bebibonki,38467.36037,No
1230035,Women's Apparel,14.90306694,Plus Velvet/no Cashmere Cardigan Coat,timeclo,56273.92609,No
210450,Beauty & Personal Care,15.64463066,It Burgundy Skin Aloe Relaxing Emulsion - 150ml,itssk,89598.30109,No
1533623,Men's Wear,17.4040879,Chino Cotton Pants Men Lines Original Slimfit,alfinsk,77802.50439,Yes
1424627,Men's Wear,45.22807997,Celsius Jacket Rush Windbreaker In B3186r Red,celciu,75106.18753,Yes
1256332,Hobbies & Books,8.450829875,Hotwheels Mercedes Benz Unimog 1300 Th Reg,adolf,107326.7815,No
254302,Mobile & Gadgets,51.10557592,36 Ciken 10mm Motorcycle Handlebar Mount Holder,336,25653.82515,No
1509657,Home & Living,15.52537106,Vintage Bedroom Encryption Mosquito Net 1.0m,ybjun7,77795.27986,No
880889,Sports & Outdoors,6.308852111,Automatic 1pcs With Case Windproof Inbuilt Lighter,mornin,98217.34385,Yes
1191739,Kids Fashion,11.19239475,Switer Hoodie Bt 12 - Alipio Fashion,alipio,46424.02982,Yes
829215,Beauty & Personal Care,9.511449603,PENGILAT KUKU + FREE GIFT🎁,norhari,106108.0335,Yes
742623,Women's Apparel,4.450302943,Ima Hijab / Pashmina,swiftcoll,51596.46922,Yes
580207,Computers & Peripherals,10.89594582,World Catch Warcraft Gaming Mouse Pad,zona91,42267.02034,Yes
201631,Beauty & Personal Care,9.403856716,Lipcream Starpeach Almayra,kios_he,24087.84165,Yes
824609,Jewellery & Accessories,7.469599033,Party Pearl Head Tiara Hair Band Wedding Brides,shopee,54856.35189,No
53646,Beauty & Personal Care,14.44491943,[3CE] CLOUD LIP TINT,myfrien,107669.4274,No
30418,Jewellery & Accessories,12.2314143,Exclusive - Silver Pendant,daniala,91992.61675,No
829683,Beauty & Personal Care,5.228477857,Decals Transfer DIY Art Nail Sticker Geo Tribal,spstore,64023.95644,Yes
473415,Games & Hobbies,5.356923505,USA Flag Tri Fidget EDC Hand Spinner Gyro Toy,kuho,64738.95043,No
1886740,Computers & Peripherals,19.72559564,Hand Grip Case ABS For Slim Pro,haid,24296.57532,No
1033012,Men's Shoes,24.14115551,Vans Slipon Og Lx Checkerboard Black White,rmd_st,87474.53505,No
477851,Women's Apparel,10.28196721,Dhea Tunic,anksho,46078.85873,Yes
207203,Pet Food & Supplies,22.5381339,Espree Puppy Shampoo 591ml Dog Shampoo,sylvia_,48981.79944,Yes
309187,Men's Shoes,15.05388696,Home Slippers Men's Bath Indoor Household Sandals,js,80602.83591,No
764664,"Toys, Kids & Babies",14.9943109,Plush Toy Birthday Gift Will Speak Jump Ball,billest,43722.39887,No
196038,Women's Apparel,13.16973326,White Mode Ariella Blouses,whitem,56954.90765,No
1898980,Sports & Outdoors,18.6426814,"Jersey Set Trail, Grastrack, Cross",agushamd,52510.85424,Yes
1907895,"Toys, Kids & Babies",47.0445261,Gund Boo Hula Outfit 9 Inches,naturescol,97768.06041,Yes
518208,Women's Apparel,12.84338368,Retro Wide Leg High-waisted Jeans,haonanre,68287.4765,No
944333,Home & Living,3.005413238,Round Tiger Eyes Stone,kaqkuhan,27035.51531,No
1383827,Home & Living,11.47177755,Ins Cute Strawberry Tableware Set,tlw161,51564.64641,Yes
1638020,Kids Fashion,15.57655368,2 Colors! Princess Elsa Dress for 2-9 yrs Girls,857341,66972.77374,Yes
1754896,Sports & Outdoors,11.13631225,Suit Body Building Fitness Spring Trainer 5 PCS,dreamwo,79292.24089,No
1871995,Food & Beverages,9.356419874,Burdock Chips 120G per Day Fruit,taiwancol,85527.53653,Yes
287302,Beauty & Personal Care,15.09895834,Drypers - Head to Toe,aizzatim,16514.23702,Yes
1044480,Kids Fashion,9.726616429,Boy Set Born To Hug,istanasi,59493.76475,No
35428,Beauty & Personal Care,8.531961817,Emina Creamatte Lip Cream Hayu 124; 15 Color,chaqicha,50757.84187,Yes
638446,"Dining, Travel & Services",133.8214807,[Takeaway] Seorae Premium Set by Seorae Korean BBQ,seoraek,103757.7743,No
562725,Mobile & Gadgets,3.222234721,Flexible / Flexi Xiaomi Mi4 On Off Original Volume,hadima,79821.05862,No
289686,Home & Living,9.837992786,Lime Sulfur Bonsai 300 ml,myusuf,59130.28933,No
1683262,Automotive,13.78790671,2PCS Rear Bumper Lamp MAXUS V80 Genuine,maxusf,58264.04028,No
51428,Watches,142.9835449,Seiko Solar SNE475 SNE475P1 SNE475P Mens Watch,creatio,58028.2398,No
294963,Sports & Outdoors,114.7945068,(maca) Air Texture Bandage Shirt - Bme 356 (maca),nextsp,19558.01908,Yes
244897,Men's Shoes,12.15918355,Kickers Flip Flops - Men's Fashion Sandals,organik_k,77567.23823,Yes
561897,"Toys, Kids & Babies",297.4293793,Young Toy Powerbattle Watchcar Avan Rc Car,gh_es,10767.81248,No
892696,Women's Apparel,432.1161187,Women's Winter Fox Fur Thick Wool Mid-length Coat,whh70,47622.42696,Yes
323102,Beauty & Personal Care,10.04646234,Apieu A Oppo + Pieu Water Light Tint Lip Tint 4 G,uupst,86224.03859,Yes
66554,Women's Bags,13.42999075,Sto0307 Women's Sling Bag,warungbaj,53513.09879,Yes
1369526,Hobbies & Books,11.03606736,Banana Lego Bracelet,lego,32723.9008,Yes
421270,Home & Living,7.253915863,1 Set Magnetic Whiteboard Pen Erasable Marker,perfects,91288.12945,No
549204,Beauty & Personal Care,34.3826482,(DHC) Dense Seaweed Lip Balm (Pink),lijingx,104090.3194,Yes
248027,Women's Apparel,13.0439929,Maitara Tunik Babyblue Xl Hl,aizabu,88547.60832,Yes
365822,Women's Apparel,37.44260239,KURUNG DELAILA,hannahco,34699.85041,Yes
407077,Women's Apparel,45.21540435,Ainun Set By Azzahraku Size S,zainatuz,16648.62233,Yes
1624519,Games & Hobbies,10.88249178,Pokemon Sleeping Bunnelby Figure,mun,27244.24856,Yes
614825,Women's Shoes,33.58402547,2020 Sports Shoes Female Ulzzang Harajuku2020,tatashop,75803.4847,Yes
1840668,Pet Food & Supplies,5.746522615,Pet Dog Puppy Cat Hair Flea Removal Comb Grooming,trust,102689.0122,Yes
1864828,Food & Beverages,9.364321189,Saori Tiram Sauce 133ml,tbkchri,77308.00362,No
1313791,Home & Living,7.973735508,0.5mm Press Type Black Red Student Exam Pen K 35,xhc00,28944.16891,No
1145209,Computers & Peripherals,10.26912839,Mouse Pad Large Quick Key Book Computer Desk Pad,zzgyy,104097.5359,No
216606,"Toys, Kids & Babies",199.3407128,Chicture Double Electric Breast Pump Model 2212MB,ourlit,99864.44466,No
854364,Men's Shoes,18.84369063,Men's Casual Canvas Shoes Men's Shoes,anzhouju,104898.5164,Yes
1773691,Beauty & Personal Care,8.858863505,Fendi Scuba Mask,she_colle,52389.54061,Yes
1216425,Men's Wear,15.85280707,Astronkido Baby,astron,55799.06286,Yes
1983014,Mobile & Gadgets,13.03201768,Repair Tool Kit Full Security For Nintendo Switch,manfei,48809.30828,Yes
762551,Home & Living,11.632197,Pellytech Wall Mounted Towel Holder Rack Hanger,pellyt,97081.04269,Yes
1493825,Women's Apparel,11.71242955,Sailor Suit Women Jk Uniform Jacket Navy,flyui,53037.6326,No
1080873,Jewellery & Accessories,16.13493178,Punk Guitar Multilayer Charm Violin Bangle,epoc,82449.53876,No
158866,Women's Apparel,25.98947039,Gamis Syari Rauna Rk 125 Purple Mukena 124; Mc,grosirbajumus,34010.74454,No
1052998,Women's Apparel,19.07788723,Sogan Batik Couple,zavier_f,33349.13752,Yes
1563760,Men's Wear,16.06954261,Sweeter Holdem,armanuc,108346.505,No
1772661,Women's Apparel,27.4493069,Mutif Gamis Dyna,putria9u,106626.8387,Yes
1185422,Home & Living,12.86945094,Pressure Gauge Compressor 10 Bar Iwt,hannate,26125.00407,No
1842217,Men's Wear,15.85489384,Dota Keep Calm Tshirt,sylarga,83367.03604,No
1079945,Women's Apparel,13.24853376,Women's Harajuku Mid-length Short-sleeved T-shirt,flyui,33009.3532,No
1376219,Men's Shoes,7.956871443,Men's Flip Flops,rainycoll,107361.0016,Yes
1783326,Women's Apparel,25.18885193,Byreefa Kurung Warda,suhada,70225.56185,No
809185,"Toys, Kids & Babies",18.3982844,Play Doctor Toys Set,friendst,75191.53302,No
1375465,Women's Apparel,14.73996817,Hela Dress Simple Contemporary Dress,ressyarisk,101073.8448,No
1658847,Home & Living,20.78456953,2020 Christmas Background Cloth Hanging Cloth Room,ljs8,39071.01415,No
1700842,Kids Fashion,15.42139895,Children's Cotton Shoes Children Cotton Slippers,barlys,16435.18376,Yes
933156,Men's Wear,22.73236687,Men's Short Sleeve Loose Hip Hop Cotton,hermosa,34027.60379,Yes
635397,Women's Shoes,14.31611289,Ssb - Indian Motiv Combi Sandals,sandalsloup,101620.7433,No
1787243,Home & Living,24.8891739,Captain America,tin_t,43465.43686,Yes
756914,Women's Apparel,6.873636731,Kinara Dress,suppliergam,76322.32445,No
1647567,Sports & Outdoors,31.3712849,Women's Quick-drying Running Fitness Suit,chuanyifu,25320.21992,No
405334,Jewellery & Accessories,19.77315668,~^o^~Household Pet Electric Polisher Nail Trimmer,poeif,89479.87538,No
1394949,Mobile & Gadgets,1.413184314,Huaiwei CASE,luke,77136.58432,Yes
1129858,Food & Beverages,16.85536643,Nongshim Instant Noodle (Kimchi Ramyun) 2x5x120g,chaph,64861.68784,Yes
285301,Women's Apparel,13.59121044,Tishia Balotelly Set / Fashionable Blouse Tops,aikos,67339.83991,Yes
935317,Men's Wear,19.5568188,Pants Men's Version Loose Ins Jeans Sports,hcrh,106472.0519,No
393870,Food & Beverages,160.5416044,Glengoyne Cask Strength Batch 5,liquorb,29998.80654,No
1839895,Sports & Outdoors,62.99352895,Zippo US Joined Forces Lighter,nalnoo,58169.52145,No
249521,Jewellery & Accessories,16.39457957,Fashion Hip Hop Snapback Cap Adjustable Sport Hat,aliangs,97701.78819,No
275819,Women's Apparel,12.24875999,Women's Strap Vest Modal Underwear Plus Size,duoduoy,33507.72589,Yes
937040,Jewellery & Accessories,12.21101777,Baseball cap Doors Riders cap,drbmi,96320.78262,No
1893858,Home Appliances,744.5757975,Panasonic NR-BL359PSSG 304L 2 Door Fridge,audio,35063.36612,Yes
867222,Men's Wear,16.58887452,Men's Autumn Long-sleeved T-shirt Men's Shirt,wzzf,47796.71604,Yes
1576919,Home & Living,17.6115405,Blackout Nordic The Color Stitching Curtain,weizh,64235.49389,Yes
1418787,Jewellery & Accessories,17.59571568,**PRE-ORDER** CAP (ADULT AND CHILD),cutiek,16773.91731,Yes
1459891,Watches,23.21343864,Seven Sunday Leather Strap Male 28 Mm+b 529,shoebo,84806.31458,No
1928105,Jewellery & Accessories,15.51298646,Flower Crown Veil - Red Theme,windaoc,82444.94508,Yes
642791,Automotive,4.561329001,Car  hood sticker,earuy,22353.33688,Yes
593957,Beauty & Personal Care,11.14664088,[A'PIEU]★2017 NEW ARRIVAL★BASE MAKER_103 PINK,mkma,63999.03259,Yes
949716,Jewellery & Accessories,11.18403038,S and F Alloy Cross Shaped Lover Bracelet (Gold),shop4,85255.87367,No
576718,Beauty & Personal Care,15.22160803,Queens Qu11 Shine Serum 60ml,artha,80730.13206,Yes
1101332,Video Games,4.858989566,Vyba Sticky Single Switch,shrly,98458.31545,Yes
1351012,Home & Living,90.5167032,Springbed Elephant Bromo Mattress Only,isahfurn,81826.66699,Yes
1381555,Jewellery & Accessories,12.23846672,Anime Demon Slayer Badge Tsugoyaki Brooch,amirrs,60011.39546,Yes
885176,Home & Living,11.97562534,Acrylic Toilet Signs With Arrow For Bathroom,young,104239.9872,Yes
892845,Men's Wear,12.31534914,Long Sleeve Premium Distro Flannel Shirt,double.,72554.27121,No
1326545,Home & Living,6.869429596,Fruit Spoon,import,107449.7604,Yes
359758,Watches,16.67166801,Skmei Men's Analog Watches - 1210,agustarias,96395.94284,Yes
1336569,Women's Apparel,19.25842395,Nurse Long Sleeve Overalls Women Doctor Suit,pow6,78159.9431,Yes
62418,Women's Apparel,21.29740005,Old Navy Pregnant Jacket,maritza_,68838.72129,No
606173,Home & Living,7.421752899,PVC Holder For A4 Certificate,trinet,34350.29373,Yes
1514613,Men's Shoes,12.09786636,Trend Casual Men's Increased Sports Shoes,yzjc0,49429.36797,Yes
1556054,Beauty & Personal Care,10.37225728,Vander 4pcs mermaid makeup brush,reij,12820.22871,No
1629977,Women's Apparel,17.82758517,Women's Sexy Long Sleeve V-neck Cross Elastic Band,lechen0,95719.54657,Yes
640078,Sports & Outdoors,14.3725693,Magnesium Metal Rod Survival Emergency Accessory,ricic,14663.55796,No
784308,Women's Apparel,11.64045318,2020 Short Skirt High Waist Small Irregular Skirt,zhuzhu,13748.82107,No
1913888,Women's Apparel,24.01810012,Children's Clothing Cool Korean Sweater,youni,106383.7179,No
1070833,Men's Wear,16.83053551,The Latest Arragon Navy Men's Latest Bomber Jacket,khalifah,107473.5715,No
1077755,Mobile & Gadgets,11.54033628,02 x 3200mAh iPhone 6 External Battery Case,zt,76706.4437,Yes
